date,name,percentage
2018-04-01,SSE3,0.9999
2018-04-01,SSE4.1,0.9473
2018-04-01,SSE4.2,0.9332
2018-04-01,SSE4a,0.1519
2018-04-01,SSSE3,0.9658
2018-05-01,AVX,0.8593
2018-05-01,SSE2,1.0000
2018-05-01,SSE3,1.0000
2018-05-01,SSE4.1,0.9483
2018-05-01,SSE4.2,0.9341
2018-05-01,SSE4a,0.1554
2018-05-01,SSSE3,0.9667
2018-06-01,AVX,0.8595
2018-06-01,SSE2,1.0000
2018-06-01,SSE3,0.9999
2018-06-01,SSE4.1,0.9488
2018-06-01,SSE4.2,0.9349
2018-06-01,SSE4a,0.1547
2018-06-01,SSSE3,0.9671
2018-07-01,AVX,0.8507
2018-07-01,SSE2,1.0000
2018-07-01,SSE3,0.9999
2018-07-01,SSE4.1,0.9528
2018-07-01,SSE4.2,0.9400
2018-07-01,SSE4a,0.1452
2018-07-01,SSSE3,0.9695
2018-08-01,AVX,0.8670
2018-08-01,SSE2,1.0000
2018-08-01,SSE3,0.9999
2018-08-01,SSE4.1,0.9512
2018-08-01,SSE4.2,0.9378
2018-08-01,SSE4a,0.1572
2018-08-01,SSSE3,0.9683
2018-09-01,AVX,0.8687
2018-09-01,SSE2,1.0000
2018-09-01,SSE3,1.0000
2018-09-01,SSE4.1,0.9552
2018-09-01,SSE4.2,0.9424
2018-09-01,SSE4a,0.1540
2018-09-01,SSSE3,0.9710
2018-10-01,AVX,0.8613
2018-10-01,SSE2,1.0000
2018-10-01,SSE3,1.0000
2018-10-01,SSE4.1,0.9583
2018-10-01,SSE4.2,0.9466
2018-10-01,SSE4a,0.1501
2018-10-01,SSSE3,0.9726
2018-11-01,AVX,0.8717
2018-11-01,SSE2,1.0000
2018-11-01,SSE3,0.9999
2018-11-01,SSE4.1,0.9551
2018-11-01,SSE4.2,0.9423
2018-11-01,SSE4a,0.1645
2018-11-01,SSSE3,0.9705
2018-12-01,AVX,0.8700
2018-12-01,SSE2,1.0000
2018-12-01,SSE3,0.9999
2018-12-01,SSE4.1,0.9534
2018-12-01,SSE4.2,0.9401
2018-12-01,SSE4a,0.1675
2018-12-01,SSSE3,0.9696
2019-01-01,AVX,0.8681
2019-01-01,SSE2,1.0000
2019-01-01,SSE3,1.0000
2019-01-01,SSE4.1,0.9548
2019-01-01,SSE4.2,0.9420
2019-01-01,SSE4a,0.1709
2019-01-01,SSSE3,0.9705
2019-02-01,AVX,0.8799
2019-02-01,SSE2,1.0000
2019-02-01,SSE3,1.0000
2019-02-01,SSE4.1,0.9582
2019-02-01,SSE4.2,0.9462
2019-02-01,SSE4a,0.1662
2019-02-01,SSSE3,0.9723
2019-03-01,AVX,0.8804
2019-03-01,SSE2,1.0000
2019-03-01,SSE3,1.0000
2019-03-01,SSE4.1,0.9583
2019-03-01,SSE4.2,0.9463
2019-03-01,SSE4a,0.1723
2019-03-01,SSSE3,0.9724
2019-04-01,AVX,0.8842
2019-04-01,SSE2,1.0000
2019-04-01,SSE3,1.0000
2019-04-01,SSE4.1,0.9618
2019-04-01,SSE4.2,0.9507
2019-04-01,SSE4a,0.1754
2019-04-01,SSSE3,0.9745
2019-05-01,AVX,0.8883
2019-05-01,SSE2,1.0000
2019-05-01,SSE3,1.0000
2019-05-01,SSE4.1,0.9630
2019-05-01,SSE4.2,0.9520
2019-05-01,SSE4a,0.1726
2019-05-01,SSSE3,0.9757
2019-06-01,AVX,0.8856
2019-06-01,SSE2,1.0000
2019-06-01,SSE3,1.0000
2019-06-01,SSE4.1,0.9661
2019-06-01,SSE4.2,0.9560
2019-06-01,SSE4a,0.1725
2019-06-01,SSSE3,0.9774
2019-07-01,AVX,0.8841
2019-07-01,SSE2,1.0000
2019-07-01,SSE3,1.0000
2019-07-01,SSE4.1,0.9653
2019-07-01,SSE4.2,0.9548
2019-07-01,SSE4a,0.1733
2019-07-01,SSSE3,0.9771
2019-08-01,AVX,0.8929
2019-08-01,SSE2,1.0000
2019-08-01,SSE3,1.0000
2019-08-01,SSE4.1,0.9654
2019-08-01,SSE4.2,0.9549
2019-08-01,SSE4a,0.1827
2019-08-01,SSSE3,0.9770
2019-09-01,AVX,0.8914
2019-09-01,AVX2,0.0105
2019-09-01,AVX512CD,0.0000
2019-09-01,AVX512ER,0.0000
2019-09-01,AVX512F,0.0000
2019-09-01,AVX512PF,0.0000
2019-09-01,AVX512VNNI,0.0000
2019-09-01,SSE2,1.0000
2019-09-01,SSE3,1.0000
2019-09-01,SSE4.1,0.9672
2019-09-01,SSE4.2,0.9570
2019-09-01,SSE4a,0.1866
2019-09-01,SSSE3,0.9781
2019-10-01,AVX,0.8947
2019-10-01,AVX2,0.0494
2019-10-01,AVX512CD,0.0002
2019-10-01,AVX512ER,0.0000
2019-10-01,AVX512F,0.0002
2019-10-01,AVX512PF,0.0000
2019-10-01,AVX512VNNI,0.0000
2019-10-01,SSE2,1.0000
2019-10-01,SSE3,1.0000
2019-10-01,SSE4.1,0.9692
2019-10-01,SSE4.2,0.9595
2019-10-01,SSE4a,0.1867
2019-10-01,SSSE3,0.9795
2019-11-01,AVX,0.9067
2019-11-01,AVX2,0.6129
2019-11-01,AVX512CD,0.0016
2019-11-01,AVX512ER,0.0000
2019-11-01,AVX512F,0.0016
2019-11-01,AVX512PF,0.0000
2019-11-01,AVX512VNNI,0.0001
2019-11-01,SSE2,1.0000
2019-11-01,SSE3,1.0000
2019-11-01,SSE4.1,0.9703
2019-11-01,SSE4.2,0.9610
2019-11-01,SSE4a,0.1879
2019-11-01,SSSE3,0.9802
2019-12-01,AVX,0.9118
2019-12-01,AVX2,0.7007
2019-12-01,AVX512CD,0.0018
2019-12-01,AVX512ER,0.0000
2019-12-01,AVX512F,0.0018
2019-12-01,AVX512PF,0.0000
2019-12-01,AVX512VNNI,0.0002
2019-12-01,SSE2,1.0000
2019-12-01,SSE3,1.0000
2019-12-01,SSE4.1,0.9716
2019-12-01,SSE4.2,0.9628
2019-12-01,SSE4a,0.1870
2019-12-01,SSSE3,0.9812
2020-01-01,AVX,0.9068
2020-01-01,AVX2,0.7071
2020-01-01,AVX512CD,0.0021
2020-01-01,AVX512ER,0.0000
2020-01-01,AVX512F,0.0021
2020-01-01,AVX512PF,0.0000
2020-01-01,AVX512VNNI,0.0004
2020-01-01,SSE2,1.0000
2020-01-01,SSE3,1.0000
2020-01-01,SSE4.1,0.9709
2020-01-01,SSE4.2,0.9619
2020-01-01,SSE4a,0.2063
2020-01-01,SSSE3,0.9802
2020-02-01,AVX,0.9087
2020-02-01,AVX2,0.7146
2020-02-01,AVX512CD,0.0023
2020-02-01,AVX512ER,0.0000
2020-02-01,AVX512F,0.0023
2020-02-01,AVX512PF,0.0000
2020-02-01,AVX512VNNI,0.0007
2020-02-01,SSE2,1.0000
2020-02-01,SSE3,1.0000
2020-02-01,SSE4.1,0.9719
2020-02-01,SSE4.2,0.9632
2020-02-01,SSE4a,0.2064
2020-02-01,SSSE3,0.9809
2020-03-01,AVX,0.9240
2020-03-01,AVX2,0.7419
2020-03-01,AVX512CD,0.0028
2020-03-01,AVX512ER,0.0000
2020-03-01,AVX512F,0.0028
2020-03-01,AVX512PF,0.0000
2020-03-01,AVX512VNNI,0.0011
2020-03-01,SSE2,1.0000
2020-03-01,SSE3,1.0000
2020-03-01,SSE4.1,0.9788
2020-03-01,SSE4.2,0.9716
2020-03-01,SSE4a,0.2030
2020-03-01,SSSE3,0.9856
2020-04-01,AVX,0.9225
2020-04-01,AVX2,0.7388
2020-04-01,AVX512CD,0.0030
2020-04-01,AVX512ER,0.0000
2020-04-01,AVX512F,0.0030
2020-04-01,AVX512PF,0.0000
2020-04-01,AVX512VNNI,0.0014
2020-04-01,SSE2,1.0000
2020-04-01,SSE3,1.0000
2020-04-01,SSE4.1,0.9780
2020-04-01,SSE4.2,0.9705
2020-04-01,SSE4a,0.2079
2020-04-01,SSSE3,0.9852
2020-05-01,AVX,0.9233
2020-05-01,AVX2,0.7406
2020-05-01,AVX512CD,0.0033
2020-05-01,AVX512ER,0.0000
2020-05-01,AVX512F,0.0033
2020-05-01,AVX512PF,0.0000
2020-05-01,AVX512VNNI,0.0017
2020-05-01,SSE2,1.0000
2020-05-01,SSE3,1.0000
2020-05-01,SSE4.1,0.9782
2020-05-01,SSE4.2,0.9708
2020-05-01,SSE4a,0.2151
2020-05-01,SSSE3,0.9855
2020-06-01,AVX,0.9258
2020-06-01,AVX2,0.7545
2020-06-01,AVX512CD,0.0037
2020-06-01,AVX512ER,0.0000
2020-06-01,AVX512F,0.0037
2020-06-01,AVX512PF,0.0000
2020-06-01,AVX512VNNI,0.0021
2020-06-01,SSE2,1.0000
2020-06-01,SSE3,1.0000
2020-06-01,SSE4.1,0.9794
2020-06-01,SSE4.2,0.9725
2020-06-01,SSE4a,0.2232
2020-06-01,SSSE3,0.9861
2020-07-01,AVX,0.9283
2020-07-01,AVX2,0.7646
2020-07-01,AVX512CD,0.0042
2020-07-01,AVX512ER,0.0000
2020-07-01,AVX512F,0.0042
2020-07-01,AVX512PF,0.0000
2020-07-01,AVX512VNNI,0.0026
2020-07-01,SSE2,1.0000
2020-07-01,SSE3,1.0000
2020-07-01,SSE4.1,0.9811
2020-07-01,SSE4.2,0.9745
2020-07-01,SSE4a,0.2296
2020-07-01,SSSE3,0.9872
2020-08-01,AVX,0.9332
2020-08-01,AVX2,0.7727
2020-08-01,AVX512CD,0.0050
2020-08-01,AVX512ER,0.0000
2020-08-01,AVX512F,0.0050
2020-08-01,AVX512PF,0.0000
2020-08-01,AVX512VNNI,0.0034
2020-08-01,SSE2,1.0000
2020-08-01,SSE3,1.0000
